date,home_team,away_team,home_score,away_score,tournament,country,neutral,resultado,home_code,away_code
2014-06-29,Costa Rica,Greece,1,1,World Cup,Brazil,True,0,15,26
2014-06-29,Netherlands,Mexico,2,1,World Cup,Brazil,True,1,37,35
2014-06-30,France,Nigeria,2,0,World Cup,Brazil,True,1,23,39
2014-06-30,Germany,Algeria,2,1,World Cup,Brazil,True,1,24,0
2014-07-01,Belgium,United States,2,1,World Cup,Brazil,True,1,5,69
2014-07-01,Argentina,Switzerland,1,0,World Cup,Brazil,True,1,2,62
2014-07-04,Brazil,Colombia,2,1,World Cup,Brazil,False,1,8,14
2014-07-04,Germany,France,1,0,World Cup,Brazil,True,1,24,23
2014-07-05,Costa Rica,Netherlands,0,0,World Cup,Brazil,True,0,15,37
2014-07-05,Argentina,Belgium,1,0,World Cup,Brazil,True,1,2,5
2014-07-08,Brazil,Germany,1,7,World Cup,Brazil,False,2,8,24
2014-07-09,Argentina,Netherlands,0,0,World Cup,Brazil,True,0,2,37
2014-07-12,Brazil,Netherlands,0,3,World Cup,Brazil,False,2,8,37
2014-07-13,Germany,Argentina,1,0,World Cup,Brazil,True,1,24,2
2018-06-14,Russia,Saudi Arabia,5,0,World Cup,Russia,False,1,49,50
2018-06-15,Iran,Morocco,1,0,World Cup,Russia,True,1,29,36
2018-06-15,Uruguay,Egypt,1,0,World Cup,Russia,True,1,70,21
2018-06-15,Portugal,Spain,3,3,World Cup,Russia,True,0,46,60
2018-06-16,France,Australia,2,1,World Cup,Russia,True,1,23,3
2018-06-16,Croatia,Nigeria,2,0,World Cup,Russia,True,1,16,39
